Число;Заявка №;Возраст;Название;Создан/а;Дата последнего изменеия;Время закрытия;Очередь;Состояние;Приоритет;Учетная запись клиента;ID клиента;Сервис;SLA;Потраченное на заявку время;EscalationDestinationIn;EscalationDestinationDate;EscalationTimeWorkingTime;EscalationTime;Дата первого ответа;FirstResponseInMin;FirstResponseDiffInMin;FirstResponseTimeWorkingTime;FirstResponseTimeEscalation;FirstResponseTimeNotification;FirstResponseTimeDestinationTime;FirstResponseTimeDestinationDate;FirstResponseTime;UpdateTimeEscalation;UpdateTimeNotification;UpdateTimeDestinationTime;UpdateTimeDestinationDate;UpdateTimeWorkingTime;UpdateTime;SolutionTime;SolutionInMin;SolutionDiffInMin;SolutionTimeWorkingTime;SolutionTimeEscalation;SolutionTimeNotification;SolutionTimeDestinationTime;SolutionTimeDestinationDate;SolutionTimeWorkingTime;First Lock;Блокировать;StateType;UntilTime;UnlockTimeout;EscalationResponseTime;EscalationSolutionTime;EscalationUpdateTime;RealTillTimeNotUsed;Количество сообщений;Номер кабинета;Процесс;Активность
1;100017;104 d 0 h;тест 4;2023-02-07 13:28:40 (Europe/Moscow);2023-02-07 15:24:26 (Europe/Moscow);2023-02-07 15:24:26 (Europe/Moscow);Группа поддержки;closed successful;3 normal;otrs_user1;TEST_Company;;;0;;;0;0;2023-02-07 13:31:13 (Europe/Moscow);0;0;;0;;;;;0;;0;;0;;;115;0;;0;;;;;2023-02-07 15:21:50 (Europe/Moscow);unlock;closed;0;1675772666;0;0;0;0;9;;;
2;100016;104 d 0 h;test33;2023-02-07 13:04:09 (Europe/Moscow);2023-02-07 13:16:22 (Europe/Moscow);2023-02-07 13:16:22 (Europe/Moscow);Группа поддержки;closed successful;3 normal;otrs_user1;TEST_Company;;;0;;;0;0;2023-02-07 13:16:22 (Europe/Moscow);0;0;;0;;;;;0;;0;;0;;;12;0;;0;;;;;2023-02-07 13:07:11 (Europe/Moscow);unlock;closed;0;1675764982;0;0;0;0;6;;;
3;100015;104 d 1 h;АЛЛО;2023-02-07 12:00:09 (Europe/Moscow);2023-02-07 12:00:10 (Europe/Moscow);;Группа поддержки;new;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;0;0;;0;;;;;;unlock;new;0;0;0;0;0;0;2;;;
4;100014;104 d 2 h;ПРОВЕРКА;2023-02-07 11:35:56 (Europe/Moscow);2023-02-07 13:25:09 (Europe/Moscow);2023-02-07 13:25:09 (Europe/Moscow);Группа поддержки;closed successful;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;2023-02-07 11:45:22 (Europe/Moscow);0;0;;0;;;;;0;;0;;0;;;109;0;;0;;;;;2023-02-07 11:45:16 (Europe/Moscow);unlock;closed;0;1675765509;0;0;0;0;7;;;
5;100013;104 d 2 h;фыв;2023-02-07 10:42:44 (Europe/Moscow);2023-02-07 11:11:42 (Europe/Moscow);2023-02-07 11:11:42 (Europe/Moscow);Группа поддержки;closed successful;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;2023-02-07 11:11:42 (Europe/Moscow);0;0;;0;;;;;0;;0;;0;;;11;0;;0;;;;;2023-02-07 10:51:28 (Europe/Moscow);unlock;closed;0;1675757502;0;0;0;0;4;;;
6;100012;104 d 3 h;s;2023-02-07 10:34:38 (Europe/Moscow);2023-02-07 10:39:28 (Europe/Moscow);2023-02-07 10:36:26 (Europe/Moscow);Группа поддержки;closed successful;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;0;0;;0;;;;;2023-02-07 10:36:19 (Europe/Moscow);unlock;closed;0;1675755507;0;0;0;0;4;;;
7;100011;104 d 3 h;ЧЕК;2023-02-07 09:52:11 (Europe/Moscow);2023-02-07 10:39:28 (Europe/Moscow);2023-02-07 10:26:24 (Europe/Moscow);Группа поддержки;closed successful;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;0;0;;0;;;;;2023-02-07 10:07:42 (Europe/Moscow);unlock;closed;0;1675755507;0;0;0;0;4;;;
8;100010;105 d 1 h;test_lk2;2023-02-06 12:09:29 (Europe/Moscow);2023-02-07 10:39:28 (Europe/Moscow);2023-02-07 09:51:19 (Europe/Moscow);Группа поддержки;closed successful;3 normal;otrs_user1;TEST_Company;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;710;0;;0;;;;;2023-02-06 12:20:57 (Europe/Moscow);unlock;closed;0;1675755507;0;0;0;0;6;;;
9;100009;105 d 1 h;test_lk;2023-02-06 11:55:04 (Europe/Moscow);2023-02-07 10:39:28 (Europe/Moscow);2023-02-06 12:26:34 (Europe/Moscow);Группа поддержки;closed successful;5 very high;otrs_user1;TEST_Company;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;31;0;;0;;;;;2023-02-06 12:25:38 (Europe/Moscow);unlock;closed;0;1675755507;0;0;0;0;5;;;
10;100008;108 d 1 h;;2023-02-03 12:00:03 (Europe/Moscow);2023-02-07 10:39:28 (Europe/Moscow);2023-02-07 09:51:20 (Europe/Moscow);Группа поддержки;closed successful;3 normal;haskird2@gmail.com;haskird2@gmail.com;;;0;;;0;0;;0;0;;0;;;;;0;;0;;0;;;1499;0;;0;;;;;2023-02-07 09:50:47 (Europe/Moscow);unlock;closed;0;1675755507;0;0;0;0;3;;;
